x,y,z,q0,q1,q2,q3,q4,q5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,6.10787516482677,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,0.0,0.0,0.0,0.0,-2.258742693517334,0.0
0.0,5.0,3.0,0.0,0.0,-3.689053631853822,0.0,0.0,0.0
0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,3.0,6.7147702497910675,0.0,0.0,0.0,0.0,0.0
0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
